Country,Continent,Subregion,Rate,Count
El Salvador,North America,Central America,52.02,3340
US Virgin Islands,North America,Caribbean,49.26,52
Jamaica,North America,Caribbean,43.85,1287
Lesotho,Africa,Southern Africa,41.25,897
Honduras,North America,Central America,38.93,3732
Belize,North America,Central America,37.9,142
Venezuela,South America,South America,36.69,10598
Saint Vincent and the Grenadines,North America,Caribbean,36.46,40
South Africa,Africa,Southern Africa,36.4,21036
Saint Kitts and Nevis,North America,Caribbean,34.23,18
Bahamas,North America,Caribbean,30.9,122
Trinidad and Tobago,North America,Caribbean,30.88,420
Mexico,North America,Central America,29.07,36685
Anguilla,North America,Caribbean,27.66,4
Brazil,South America,South America,27.38,57358
Dominica,North America,Caribbean,25.7,19
Colombia,South America,South America,25.34,12586
Guatemala,North America,Central America,22.5,3881
Saint Lucia,North America,Caribbean,21.44,39
Puerto Rico,North America,Caribbean,21.09,641
Montserrat,North America,Caribbean,19.88,1
Central African Republic,Africa,Middle Africa,19.76,913
Curaçao,North America,Caribbean,19.19,26
Tuvalu,Oceania,Polynesia,18.65,2
Namibia,Africa,Southern Africa,17.14,388
Saint Pierre and Miquelon,North America,Northern America,15.93,1
Botswana,Africa,Southern Africa,15.04,303
Guyana,South America,South America,14.25,111
South Sudan,Africa,Eastern Africa,13.9,1504
DR Congo,Africa,Middle Africa,13.55,10322
French Guiana,South America,South America,13.15,30
Seychelles,Africa,Eastern Africa,12.74,12
Uruguay,South America,South America,12.06,416
Côte d'Ivoire,Africa,Western Africa,11.63,2688
Costa Rica,North America,Central America,11.26,563
Palau,Oceania,Micronesia,11.17,2
Grenada,North America,Caribbean,11.1,12
Mali,Africa,Western Africa,10.9,1905
Uganda,Africa,Eastern Africa,10.42,4497
Antigua and Barbuda,North America,Caribbean,10.33,10
Iraq (excluding Kurdistan),Asia,Western Asia,10.08,3029
Dominican Republic,North America,Caribbean,10.05,1068
Mauritania,Africa,Western Africa,9.94,416
Nigeria,Africa,Western Africa,9.85,17843
Iraq,Asia,Western Asia,9.85,3339
Barbados,North America,Caribbean,9.7,28
Eswatini,Africa,Southern Africa,9.5,130
Panama,North America,Central America,9.39,392
Congo,Africa,Middle Africa,9.32,466
Gambia,Africa,Western Africa,9.13,181
Chad,Africa,Middle Africa,9.04,1266
Togo,Africa,Western Africa,9,668
Guinea,Africa,Western Africa,8.82,1067
Cayman Islands,North America,Caribbean,8.45,5
British Virgin Islands,North America,Caribbean,8.37,2
Russia,Europe,Eastern Europe,8.21,11964
Bermuda,North America,Northern America,8.2,5
Eritrea,Africa,Eastern Africa,8.04,390
Gabon,Africa,Middle Africa,8.04,155
Guadeloupe,North America,Caribbean,8.01,36
Papua New Guinea,Oceania,Melanesia,7.85,520
Comoros,Africa,Eastern Africa,7.7,60
Peru,South America,South America,7.7,2487
Madagascar,Africa,Eastern Africa,7.69,1863
Ethiopia,Africa,Eastern Africa,7.56,7552
Kiribati,Oceania,Micronesia,7.5,8
Senegal,Africa,Western Africa,7.38,1105
Nicaragua,North America,Central America,7.37,453
Paraguay,South America,South America,7.14,497
Laos,Asia,South-Eastern Asia,7.01,467
Tanzania,Africa,Eastern Africa,6.95,3746
Cape Verde,Africa,Western Africa,6.8,37
Haiti,North America,Caribbean,6.68,773
Zimbabwe,Africa,Eastern Africa,6.67,981
Afghanistan,Asia,Southern Asia,6.66,2474
Yemen,Asia,Western Asia,6.66,1703
Djibouti,Africa,Eastern Africa,6.48,60
Philippines,Asia,South-Eastern Asia,6.46,6895
Bolivia,South America,South America,6.3,686
Ukraine,Europe,Eastern Europe,6.2,2751
Mongolia,Asia,Eastern Asia,6.18,196
Burundi,Africa,Eastern Africa,6.02,635
Mayotte,Africa,Eastern Africa,5.93,12
Turks and Caicos Islands,North America,Caribbean,5.93,2
Ecuador,South America,South America,5.8,991
Suriname,South America,South America,5.5,31
American Samoa,Oceania,Polynesia,5.4,3
Argentina,South America,South America,5.32,2362
Greenland,North America,Northern America,5.31,3
Zambia,Africa,Eastern Africa,5.3,853
Sudan,Africa,Northern Africa,5.16,1702
Kazakhstan,Asia,Central Asia,5,915
Cuba,North America,Caribbean,4.99,572
United States,North America,Northern America,4.96,16214
Kenya,Africa,Eastern Africa,4.93,2533
Angola,Africa,Middle Africa,4.85,1217
Micronesia,Oceania,Micronesia,4.67,5
Lithuania,Europe,Northern Europe,4.57,128
Niger,Africa,Western Africa,4.44,788
North Korea,Asia,Eastern Asia,4.4,1110
Chile,South America,South America,4.4,825
Latvia,Europe,Northern Europe,4.36,84
Somalia,Africa,Eastern Africa,4.31,599
Turkmenistan,Asia,Central Asia,4.22,203
Moldova,Europe,Eastern Europe,4.1,166
Timor-Leste,Asia,South-Eastern Asia,3.95,49
Pakistan,Asia,Southern Asia,3.88,8241
Solomon Islands,Oceania,Melanesia,3.77,19
Cook Islands,Oceania,Polynesia,3.49,1
Mozambique,Africa,Eastern Africa,3.4,849
Sao Tome and Principe,Africa,Middle Africa,3.36,6
Thailand,Asia,South-Eastern Asia,3.24,2229
Liberia,Africa,Western Africa,3.23,135
New Caledonia,Oceania,Melanesia,3.23,8
Samoa,Oceania,Polynesia,3.15,6
India,Asia,Southern Asia,3.08,41651
Tunisia,Africa,Northern Africa,3.05,332
Gibraltar,Europe,Southern Europe,3.01,1
Mauritius,Africa,Eastern Africa,2.92,37
Martinique,North America,Caribbean,2.78,11
Liechtenstein,Europe,Western Europe,2.64,1
Turkey,Asia,Western Asia,2.59,2133
Rwanda,Africa,Eastern Africa,2.52,293
Egypt,Africa,Northern Africa,2.51,2207
Guam,Oceania,Micronesia,2.51,4
Libya,Africa,Northern Africa,2.5,156
Hungary,Europe,Eastern Europe,2.5,242
Lebanon,Asia,Western Asia,2.49,171
Iran,Asia,Southern Asia,2.47,1936
Sri Lanka,Asia,Southern Asia,2.42,514
Kosovo,Europe,Southern Europe,2.4,44
Belarus,Europe,Eastern Europe,2.39,226
Bangladesh,Asia,Southern Asia,2.37,3830
Equatorial Guinea,Africa,Middle Africa,2.31,27
Albania,Europe,Southern Europe,2.29,66
Myanmar,Asia,South-Eastern Asia,2.27,1198
Fiji,Oceania,Melanesia,2.26,20
Montenegro,Europe,Southern Europe,2.23,14
Georgia,Asia,Western Asia,2.22,89
Azerbaijan,Asia,Western Asia,2.2,219
Kurdistan Region (Iraq),Asia,Western Asia,2.2,111
Kyrgyzstan,Asia,Central Asia,2.19,138
Nepal,Asia,Southern Asia,2.16,627
Vanuatu,Oceania,Melanesia,2.13,6
Estonia,Europe,Northern Europe,2.12,28
Malaysia,Asia,South-Eastern Asia,2.11,627
Ghana,Africa,Western Africa,2.1,609
Aruba,North America,Caribbean,1.93,2
Cambodia,Asia,South-Eastern Asia,1.84,268
Réunion,Africa,Eastern Africa,1.82,15
Kuwait,Asia,Western Asia,1.8,61
Canada,North America,Northern America,1.76,651
Malawi,Africa,Eastern Africa,1.73,279
Sierra Leone,Africa,Western Africa,1.71,124
Belgium,Europe,Western Europe,1.7,193
Armenia,Asia,Western Asia,1.69,50
Finland,Europe,Northern Europe,1.63,90
Tajikistan,Asia,Central Asia,1.61,126
Malta,Europe,Southern Europe,1.59,7
Vietnam,Asia,South-Eastern Asia,1.52,1358
Morocco,Africa,Northern Africa,1.42,510
Cameroon,Africa,Middle Africa,1.4,341
Jordan,Asia,Western Asia,1.4,133
Slovakia,Europe,Eastern Europe,1.37,62
Algeria,Africa,Northern Africa,1.36,542
Israel,Asia,Western Asia,1.36,110
Burkina Faso,Africa,Western Africa,1.3,240
Saudi Arabia,Asia,Western Asia,1.3,419
Bulgaria,Europe,Eastern Europe,1.3,92
Romania,Europe,Eastern Europe,1.28,250
Cyprus,Asia,Western Asia,1.26,15
Serbia,Europe,Southern Europe,1.23,108
Northern Ireland,Europe,Northern Europe,1.22,23
England and Wales,Europe,Northern Europe,1.2,726
France,Europe,Western Europe,1.2,779
North Macedonia,Europe,Southern Europe,1.2,25
United Kingdom,Europe,Northern Europe,1.2,809
Bhutan,Asia,Southern Asia,1.19,9
Bosnia and Herzegovina,Europe,Southern Europe,1.17,39
Scotland,Europe,Northern Europe,1.12,61
Benin,Africa,Western Africa,1.1,126
Guinea-Bissau,Africa,Western Africa,1.1,21
Uzbekistan,Asia,Central Asia,1.1,363
Sweden,Europe,Northern Europe,1.08,108
Denmark,Europe,Northern Europe,1.01,58
Austria,Europe,Western Europe,0.97,86
Germany,Europe,Western Europe,0.95,788
Tonga,Oceania,Polynesia,0.95,1
Greece,Europe,Southern Europe,0.94,99
Iceland,Europe,Northern Europe,0.89,3
Australia,Oceania,Australia and N.Z.,0.89,222
Syria,Asia,Western Asia,0.88,149
Ireland,Europe,Northern Europe,0.87,42
Taiwan,Asia,Eastern Asia,0.82,192
Portugal,Europe,Southern Europe,0.79,81
Maldives,Asia,Southern Asia,0.75,3
Poland,Europe,Eastern Europe,0.73,277
New Zealand,Oceania,Australia and N.Z.,0.7,35
Hong Kong,Asia,Eastern Asia,0.65,48
Spain,Europe,Southern Europe,0.62,290
South Korea,Asia,Eastern Asia,0.6,309
Czech Republic,Europe,Eastern Europe,0.6,66
Netherlands,Europe,Western Europe,0.59,100
Switzerland,Europe,Western Europe,0.59,50
Croatia,Europe,Southern Europe,0.58,24
Italy,Europe,Southern Europe,0.57,345
China,Asia,Eastern Asia,0.53,7525
Bahrain,Asia,Western Asia,0.52,7
United Arab Emirates,Asia,Western Asia,0.5,44
Brunei,Asia,South-Eastern Asia,0.49,2
Palestine,Asia,Western Asia,0.49,24
Slovenia,Europe,Southern Europe,0.48,10
Norway,Europe,Northern Europe,0.47,25
Indonesia,Asia,South-Eastern Asia,0.4,1150
Qatar,Asia,Western Asia,0.38,9
French Polynesia,Oceania,Polynesia,0.38,1
Macau,Asia,Eastern Asia,0.32,2
Luxembourg,Europe,Western Europe,0.3,2
Oman,Asia,Western Asia,0.27,13
Japan,Asia,Eastern Asia,0.26,334
Singapore,Asia,South-Eastern Asia,0.16,9
